N,steps,alpha,beta,seed,D1,ci_low,ci_high,runtime
10000,10000,0.1,0.005,0,inf,nan,nan,267.5
10000,10000,0.1,0.01,0,inf,nan,nan,369.2
10000,10000,0.1,0.015,0,inf,nan,nan,3317.8
10000,10000,0.1,0.02,0,inf,nan,nan,602.0
10000,10000,0.1,0.025,0,inf,nan,nan,717.3
10000,10000,0.1,0.03,0,inf,nan,nan,827.6
10000,10000,0.1,0.005,0,inf,nan,nan,270.0
10000,10000,0.1,0.01,0,inf,nan,nan,385.4
10000,10000,0.1,0.015,0,inf,nan,nan,487.0
10000,10000,0.1,0.04,0,inf,nan,nan,1075.1
10000,10000,0.1,0.02,0,inf,nan,nan,602.2
10000,10000,0.1,0.025,0,inf,nan,nan,716.7
10000,10000,0.1,0.05,0,inf,nan,nan,1295.5
10000,10000,0.1,0.03,0,inf,nan,nan,833.8
10000,10000,0.1,0.06,0,inf,nan,nan,1529.8
10000,10000,0.1,0.04,0,inf,nan,nan,1064.6
10000,10000,0.1,0.05,0,0.613,0.609,0.616,1298.2
10000,10000,0.1,0.08,0,0.649,0.645,0.653,1997.2
10000,10000,0.2,0.005,0,0.596,0.593,0.599,230.1
10000,10000,0.2,0.01,0,0.612,0.608,0.615,344.8
10000,10000,0.2,0.015,0,0.619,0.615,0.623,460.0
10000,10000,0.1,0.06,0,0.645,0.641,0.648,1528.2
